"","date","amount.x","cum_rolling_365_all","amount.y","cum_rolling_365_private","cum_rolling_365_health","cum_rolling_365_pubad","cum_rolling_365_realestate","cum_rolling_365_computing","cum_rolling_365_management","cum_rolling_365_bussup","cum_rolling_365_residential","cum_rolling_365_socialwork","cum_rolling_365_legal","cum_rolling_365_transport","cum_rolling_365_private2","cum_rolling_365_pubad2","cum_rolling_365_computing2","cum_rolling_365_legal2","cum_rolling_365_management2","cum_rolling_365_realestate2","cum_rolling_365_transport2","cum_rolling_365_health2","cum_rolling_365_bussup2","cum_rolling_365_residential2","cum_rolling_365_socialwork2","Rolling_Percent"
"426",2018-07-18,130917,31929484756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957506006,0.12217179606279,0.163605446186173,0.0923743249394513,0.261880145072768,0.205477045750547,0.0938458363139394,4.24911928697832,0.299852806055722,0.279649927589956,0.0890005028805232,6.13071592278719
"427",2018-07-19,178404,31929663160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957506006,0.122171113439331,0.163604532056078,0.0923738088065693,0.261878681842004,0.205475897666814,0.0938453119591256,4.2490955454226,0.299851130656275,0.279648365072198,0.0890000055985558,6.13068166798663
"428",2018-07-23,-36151,31929627009,-75279,1957430727,1356646616,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957430727,0.122171251762523,0.163604717290545,0.092373913392995,0.261878978343314,0.205476130308403,0.0938454182115999,4.24886459092555,0.29985147015032,0.279648681692497,0.0890001063651323,6.13045284383767
"429",2018-07-24,3181207,31932808216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957430727,0.1221590808304,0.163588418677897,0.0923647109283099,0.261852889462141,0.20545566038607,0.0938360691528101,4.24844131096572,0.299821598377397,0.279620822559729,0.0889912400055107,6.12984211648265
"430",2018-07-25,282088,31933090304,193042,1957623769,1356786368,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957623769,0.122158001711202,0.163586973583501,0.0923638950042534,0.261850576326858,0.205453845448155,0.0938352402311861,4.24884142149577,0.299818949837145,0.279618352467488,0.0889904538817541,6.13039248742795
"431",2018-07-27,88000,31933178304,88000,1957711769,1356874368,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957711769,0.122157665073738,0.163586522777961,0.0923636404720336,0.261849854730952,0.205453279267795,0.0938349816443,4.24910528818247,0.299818123609723,0.279617581907953,0.0889902086459098,6.13065116902183
"432",2018-07-30,2501597,31935679901,2501597,1960213366,1359375965,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960213366,0.12214809617621,0.163573708660464,0.0923564054106029,0.261829343415299,0.205437185628685,0.093827631329251,4.25660568121311,0.299794638150172,0.279595678804396,0.0889832378333369,6.13800417613348
"433",2018-07-31,2940132333,32543204693,183099994,2003854700,1388282872,41741387,71530539,53407990,84321922,95211142,91705388,28830178,29524369,29805954,2003854700,0.128264525248119,0.164114107703376,0.0907236065978181,0.259107616460826,0.219801767142454,0.0915888717204646,4.26596853351267,0.292568426798114,0.281795812259773,0.0885904700289131,6.15752111355839
"434",2018-08-01,35487,32543240180,35487,2003890187,1388318359,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003890187,0.128264385381185,0.164113928744019,0.0907235076676375,0.259107333915144,0.219801527458106,0.0915887718467498,4.26607292734549,0.292568107764861,0.281795504973592,0.088590373424826,6.15762344473469
"435",2018-08-02,-141673,32543098507,-141673,2003748514,NA,NA,NA,53266317,NA,NA,NA,NA,NA,NA,2003748514,0.128264943766868,0.163679303581195,0.0907239026230072,0.259108461912016,0.219802484341231,0.0915891705689572,4.26609149925098,0.292569381429737,0.281796731741061,0.0885907590938172,6.15721491169317
