"","LAD19CD","threeyears","ccg19cd","LAD19NM","Treatable_mortality_rate","Preventable_mortality_rate","year","Broad_RUC11","one.x","one.y","include","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Managerial_occupation","Professional_occupation","Local_Authority_Expenditure","Claimant_percent","GDHI_per_person","Local_Authority_Spend_per_pop","professional_and_managerial"
"68","E06000026","X2013.2015","E38000230","Plymouth",85.4,167.8,"2015","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","E06000026","X2014.2016","E38000230","Plymouth",83.3,169.8,"2016","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","E06000026","X2015.2017","E38000230","Plymouth",86.3,169.8,"2017","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","E06000026","X2016.2018","E38000230","Plymouth",88.3,166.7,"2018","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","E06000026","X2017.2019","E38000230","Plymouth",88.7,164,"2019","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","E06000027","X2009.2011","E38000230","Torbay",99.3,160.6,"2011","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","E06000027","X2010.2012","E38000230","Torbay",96,158.1,"2012","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","E06000027","X2011.2013","E38000230","Torbay",90.9,158.2,"2013","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","E06000027","X2012.2014","E38000230","Torbay",84.2,157.6,"2014","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","E06000027","X2013.2015","E38000230","Torbay",84.3,146.7,"2015","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","E06000027","X2014.2016","E38000230","Torbay",90,153.8,"2016","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","E06000027","X2015.2017","E38000230","Torbay",93,160.2,"2017","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","E06000027","X2016.2018","E38000230","Torbay",90.8,178.2,"2018","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","E06000027","X2017.2019","E38000230","Torbay",81.9,169.5,"2019","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","E06000031","X2009.2011","E38000026","Peterborough",103.8,170.6,"2011","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","E06000031","X2010.2012","E38000026","Peterborough",100.7,170.6,"2012","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","E06000031","X2011.2013","E38000026","Peterborough",100.4,170.5,"2013","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","E06000031","X2012.2014","E38000026","Peterborough",100.3,165.1,"2014","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","E06000031","X2013.2015","E38000026","Peterborough",97.9,169.7,"2015","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","E06000031","X2014.2016","E38000026","Peterborough",92.4,168.1,"2016","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","E06000031","X2015.2017","E38000026","Peterborough",92.9,171.3,"2017","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","E06000031","X2016.2018","E38000026","Peterborough",94.3,166.4,"2018","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","E06000031","X2017.2019","E38000026","Peterborough",102.9,164.6,"2019","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","E06000036","X2009.2011","E38000224","Bracknell Forest",83.6,137.4,"2011","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","E06000036","X2010.2012","E38000224","Bracknell Forest",76.1,129.7,"2012","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","E06000036","X2011.2013","E38000224","Bracknell Forest",76.6,127.4,"2013","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","E06000036","X2012.2014","E38000224","Bracknell Forest",69.5,117.3,"2014","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","E06000036","X2013.2015","E38000224","Bracknell Forest",68,111,"2015","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","E06000036","X2014.2016","E38000224","Bracknell Forest",67.1,112.6,"2016","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","E06000036","X2015.2017","E38000224","Bracknell Forest",69.5,114.8,"2017","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
